,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano A,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,,1° Ano B,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/02,03/02,04/02,05/02,06/02,,09/02,10/02,11/02,12/02,13/02,,16/02,17/02,18/02,19/02,20/02,,23/02,24/02,25/02,26/02,27/02,,02/03,03/03,04/03,05/03,06/03,,09/03,10/03,11/03,12/03,13/03,,16/03,17/03,18/03,19/03,20/03,,23/03,24/03,25/03,26/03,27/03,,30/03,31/03,01/04,02/04,03/04,,06/04,07/04,08/04,09/04,10/04,,13/04,14/04,15/04,16/04,17/04,,20/04,21/04,22/04,23/04,24/04,,27/04,28/04,29/04,30/04,01/05,,04/05,05/05,06/05,07/05,08/05,,11/05,12/05,13/05,14/05,15/05,,17/11,18/11,19/11,20/11,21/11,,18/05,19/05,20/05,21/05,22/05,,25/05,26/05,27/05,28/05,29/05,,01/06,02/06,03/06,04/06,05/06,,08/06,09/06,10/06,11/06,12/06,,15/06,16/06,17/06,18/06,19/06,,22/06,23/06,24/06,25/06,26/06,,29/06,30/06,01/07,02/07,03/07,,06/07,07/07,08/07,09/07,10/07,,13/07,14/07,15/07,16/07,17/07,
07:45,,,,,,,,,,Matemática,,,,CARNAVAL,,,,Lógica,,Lógica,,Matemática,Lógica,Fundamentos,,Biologia,,Matemática,,Fundamentos,,,,Matemática,Biologia,,,,,Matemática,Biologia,HSO,,,História,Matemática,Biologia,,,,Atividade da CGE,Matemática,RECESSO,SEXTA-FEIRA SANTA,,,Atividade da CGE,Matemática,,,,,,Matemática,,,,RECESSO,TIRADENTES,Avaliação MAT,,,,,,Matemática,,DIA DO TRABALHO,,Oficina I,,Matemática,,,INÍCIO DO 2º TRIMESTRE,Oficina I,,Matemática,,,,,,,,,,Oficina I,,Matemática,Geografia,,,Oficina I,,Matemática,Geografia,,,Artes,,Matemática,CORPUS CHRISTI,RECESSO,,,,Matemática,Geografia,Geografia,,,Geografia,Matemática,Geografia,,,,Geografia,Matemática,Geografia,,,,Geografia,Matemática,Geografia,,,,Geografia,Matemática,Geografia,,,,Geografia,Matemática,Geografia,,FÉRIAS DE INVERNO: 18/7 ATÉ 2/8
08:30,,,,,,,,L. Portuguesa ,Química,Matemática,Física (FIS),,,,,,Física (FIS),Lógica,,L. Portuguesa ,Química,Matemática,Física (FIS),Fundamentos,,L. Portuguesa ,Química,Matemática,Física (FIS),Fundamentos,,L. Portuguesa ,Avaliação QUI,Matemática,Física (FIS),,,L. Portuguesa ,Química,Matemática,Física (FIS),HSO,,L. Portuguesa ,Recuperação QUI,Matemática,Física (FIS),Multimídia,,L. Portuguesa ,Química,Matemática,,,,Avaliação POR,,Matemática,Avaliação FIS,História,,Recuperação POR,,Matemática,Recuperação FIS,Recuperação ING,,,,Avaliação MAT,Física (FIS),,,L. Portuguesa ,,Matemática,Física (FIS),,,Avaliação POR,Química,Matemática,Recuperação FIS,Geografia,,Recuperação POR,Química,Matemática,Física (FIS),Recuperação HIS,,,,,,,,L. Portuguesa ,Química,Matemática,Física (FIS),,,L. Portuguesa ,Química,Matemática,Física (FIS),,,L. Portuguesa ,Química,Matemática,,,,L. Portuguesa ,Química,Matemática,Física (FIS),,,L. Portuguesa ,Química,Matemática,Física (FIS),,,L. Portuguesa ,Química,Matemática,Física (FIS),,,L. Portuguesa ,Química,Matemática,Física (FIS),,,L. Portuguesa ,Química,Matemática,Física (FIS),,,L. Portuguesa ,Química,Matemática,Física (FIS),,
09:15,,,,,,,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Filosofia,,,,,Física (FIS),Filosofia,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Filosofia,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Filosofia,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Filosofia,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Avaliação FIL,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Multimídia,,L. Portuguesa ,Química,L. Portuguesa ,,,,Avaliação POR,,L. Portuguesa ,Avaliação FIS,Recuperação HIS,,Recuperação POR,,L. Portuguesa ,Recuperação FIS,Recuperação ING,,,,L. Portuguesa ,Física (FIS),,,L. Portuguesa ,,L. Portuguesa ,Física (FIS),,,Avaliação POR,Química,L. Portuguesa ,Recuperação FIS,História,,Recuperação POR,Química,L. Portuguesa ,Física (FIS),Geografia,,,,,,,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Geografia,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Filosofia,,L. Portuguesa ,Química,L. Portuguesa ,,,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Filosofia,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Filosofia,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Filosofia,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Filosofia,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Filosofia,,L. Portuguesa ,Química,L. Portuguesa ,Física (FIS),Filosofia,
10:00 - 10:15,,,,,,,,INTERVALO,,,,,,,,,INTERVALO,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,,,INTERVALO,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,
10:15,,,,,,,,História,Matemática,Ed. Física,Artes,Filosofia,,,,,Artes,Filosofia,,História,Matemática,Ed. Física,,Filosofia,,História,Matemática,Ed. Física,Artes,Filosofia,,Avaliação HIS,Matemática,Ed. Física,Artes,Filosofia,,,Avaliação MAT,Ed. Física,Artes,Avaliação FIL,,Avaliação HIS,Matemática,Ed. Física,,,,História,Matemática,Ed. Física,,,,História,Matemática,Ed. Física,HSO,,,História,Matemática,Ed. Física,HSO,Avaliação HIS,,,,Ed. Física,HSO,,,Biologia,Matemática,Ed. Física,Avaliação HSO,,,História,Recuperação MAT,Ed. Física,Avaliação HSO,Avaliação HIS,,,Matemática,Ed. Física,HSO,Geografia,,,,,,,,História,Matemática,Ed. Física,HSO,Geografia,,História,Matemática,Ed. Física,HSO,Filosofia,,História,Matemática,Ed. Física,,,,História,Matemática,Ed. Física,HSO,Filosofia,,História,Matemática,Ed. Física,HSO,Filosofia,,História,Matemática,Ed. Física,HSO,Filosofia,,História,Matemática,Ed. Física,HSO,Filosofia,,História,Matemática,Ed. Física,HSO,Filosofia,,História,Matemática,Ed. Física,HSO,Filosofia,
11:00,,,,,,,,História,Matemática,Ed. Física,Artes,,,,,,Artes,Biologia,,História,Matemática,Ed. Física,,Biologia,,História,Matemática,Ed. Física,Artes,Biologia,,Avaliação HIS,Matemática,Ed. Física,Artes,Biologia,,,Avaliação MAT,Ed. Física,Artes,Biologia,,Avaliação HIS,Matemática,Ed. Física,Biologia,Avaliação BIO,,História,Matemática,Ed. Física,,,,História,Matemática,Ed. Física,HSO,Biologia,,História,Matemática,Ed. Física,HSO,Biologia,,,,Ed. Física,HSO,Biologia,,Biologia,Matemática,Ed. Física,Avaliação HSO,,,História,Recuperação MAT,Ed. Física,Avaliação HSO,Biologia,,,Matemática,Ed. Física,HSO,Biologia,,,,,,,,História,Matemática,Ed. Física,HSO,Biologia,,História,Matemática,Ed. Física,HSO,Biologia,,História,Matemática,Ed. Física,,,,História,Matemática,Ed. Física,HSO,Biologia,,História,Matemática,Ed. Física,HSO,Biologia,,História,Matemática,Ed. Física,HSO,Biologia,,História,Matemática,Ed. Física,HSO,Biologia,,História,Matemática,Ed. Física,HSO,Biologia,,História,Matemática,Ed. Física,HSO,Biologia,
11:45 - 13:00,,,,,,,,ALMOÇO,,,,,,,,,ALMOÇO,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,,,ALMOÇO,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,,ALMOÇO,,,,,
